	target_text	input_text	prefix
816	if you want to use ssh, then typo ssh, not shh ;) .. and you might need to do a sudo apt-get install ssh first	If I use 'shh laguha@<ip>' it says that the command does not eksist Iam trying to remote control my server via ssh 	CHAT
817	have you tried the manpages for vncviewer?	using vncviewer how do I change it to like 8bpp ? and what other settings can I change to make it faster? 	CHAT
818	me and you might have the same problem, wait what ATI card do oyu have	Is it fglrx 8.41.7 or 8.42 that comes with Ubuntu 7.10 as the properitary ATI driver? 	CHAT
819	can you please ask an intelligible question.	!b-e | hipy ????:X 	CHAT
820	: have you tried Select->All	Can someone tell me why in gimp when I select a area and copy it only gives me the top left Have you got the right layer selected? 	CHAT
821	did you try verifying the cd integrity? i've had that happen with bad burns.	 I have a laptop here that wouldn't boot windows, something about pagefile.sys not being found.  I have a the ubuntu 8.04 live cd in it to try and get my databack, but it gives me squashfs errors.  any help? 	CHAT
822	can you please wait quietly	hurrrr.. 	CHAT
823	on windows you might want to use http://www.realvnc.com/ (free client download) or an open source client	you'll always have to use a vnc viewer program no... the Remote Desktop on windows is no vnc program 	CHAT
824	what VM did you try?	I need to hear some experiences with vitualizing Windows in Ubuntu. tried it and gave up. could never find the nic 	CHAT
825	can you change resolutions using xrandr -s 'widthxheight' ?	i also can't decrease resolution i'm on an oldish lcd monitor 	CHAT
826	ettesb you might need to reboot	ive been using linux so long now i forgot people actually worry about viri still. 	CHAT
827	did you try iwconfig <device> essid '<AP>' enc on key s:<key>?	I got my Drivers/kernel modules loaded its is all there in iwconfig and ifconfig iwlist wlan0 scan returns an accesspoint yet still i get no connection, can anyone help? 	CHAT
828	sorry I missed it can you resend???	ok, Its still dyeing on xubuntu-system-tools... how do I run 'synaptic' package manager??? i think i sent you a link that explains how to run it...? 	CHAT
829	can you elaborate on 'can't use repositories'?	Hello, i cant use repositories, whar can i do? Hello, i cant use repositories, what can i do? 	CHAT
830	did you try amarok?	!rhythmbox > marlun know any smaller, preferably one which only has a playlist and not a lot of features? 	CHAT
831	try the alternate and you might get the menus Dr_Willis are talking about	alternate installation disk? desktop, both 32bit and 64bit 	CHAT
832	can you ping your router?	i cant connect to my wired network 	CHAT
833	have you tried installing an open office plug in?	 anyone aware of any application that can open a M$ Publisher document? 	CHAT
834	when you say crashed we need more info, what happened? any messages? what could you see on the screen	hello my dell desktop system just crashed when it went into hibernate and it said i could get help on IRC 	CHAT
835	you might check the cord, it's happened to me before	hi i got a rely werid problem with my router i can connect useing wifi but any computer hooked up the the ethernet cord does not work hi i got a rely werid problem with my router i can connect useing wifi but any computer hooked up the the ethernet cord does not work 	CHAT
836	have you tried clicking mount from computer under places?	how do I get a usb thumb drive seen? how do I get a usb thumb drive seen, in gutsy? 	CHAT
837	have you tried it as root?	http://pastebin.com/20bWY2Ub ^how is that even possible? 	CHAT
838	have you tried tty?	can someone offer me linux distro wich for sure works on my Acer Aspire 5742G Xtreme GT. I installed Mandriva 2010.1 smoothly, but when i finished and restarted machine, black window appeared and that's it 	CHAT
839	have you tried #vim?	I can't copy to clipboard from a terminal that is running vim. I can't middleclick copy/paste either. Anyone know where I can set these options? Hardy, Gnome 2.22.2 	CHAT
840	can you help me ubuntu users?	selam 	CHAT
841	could you advice to me some simple guides?	Dear friends, someone of you knows PDO pho data objects? 	CHAT
842	you might have to do something like 'layer via cut'	In gimp how do you move something that is selected? the move tool, only moves selections, does anyone know, http://lists.xcf.berkeley.edu/lists/gimp-developer/2006-October/016537.html Can someone help? how do you move selection contents in gimp? is this possible? 	CHAT
843	could you use ab (apache bench) ?	Anyone here want to help me stress-test my server? It'd be greatly appreciated. what sort of server? 	CHAT
844	you might have to change your Xorg resolution tho	does anyone mind walking me through an nvidia 5500fx driver installl?  I can't seem to make it work... install in safe graphics mode, and when rebooting, apt-get nvidia-glx-new 	CHAT
845	(can you diff two docs?)	Is there anyway to diff two .docx files in linux? 	CHAT
846	have you tried ndiswrapper nila	sudo.... 	CHAT
847	have you tried google?	anyone know a tool i can use to connect my DV cam via firewire? HDV cam 	CHAT
848	have you tried installing ndiswrapper?	So no one knows how to enable an Atheros AR5413 802.11abg NIC 	CHAT
849	you might find help in docs https://help.ubuntu.com/community/	can someone tell me where i can fine the wierless driver in my sys and how to copy to a FLASH DRIVE can someone tell me where i can fine the wierless driver in my sys and how to copy to a FLASH DRIVE 	CHAT
850	have you tried just rebooting? I had some oddities with my ff colors after changing themes and that solved it for me	I had a strange experience with 7.10. I was testing out different GTK themes, so I set Firefox to not use System Colors. After a few different themes, Firefox started using the system colors regardless of the setting. It has no effect now. Any suggestions? 	CHAT
851	can you get into recovery mode in rw?	does your card show up in iwconfig? 	CHAT
852	can you boot live cd, then mount hard drive and a flash drive, and copy your home to the flash drive?	so i've hosed my system COMPLETELY. is there any way to re-install gutsy without ruining my /home ? well, it'll give me a reason to encrypt FS then 	CHAT
853	have you tried enabling the restricted driver?	I have a Xubuntu 6.04 that I just upgraded to 7.04.  However, I can only boot into low graphics mode.  How do I get the nvidia drivers working again? 	CHAT
854	have you tried the nvidia-settings program?	Can someone help me get some advice on how to set up a dual screen, so I do have a bigger desktop, but can fullscreen and maximize windows on 1? I think it means having seperate xservers, I'm not sure. Does someone know whether it is possible and if so how? do you have an nvidia card? 	CHAT
855	it could also be a kernel issue have you tried using different kernels?	you might try getting the newest version of x and seeing if that helps. 	CHAT
856	ask and you might get answered.	I have a quick question if someone would please help me 	CHAT
857	can you try to go to games.yahoo.com and try a java game like some card game, hearts or spades, see if it work for you? Ofcourse you have a yahoo account i expect.	yes i'm sure they don't use shockwave, I used to play back in feisty 	CHAT
858	Isn't xdm the manager? have you tried typing 'xdm'	hey guys, for some reasonw hen i boot into xubuntu it wont go into startx anymore, even after i manually enter 'startx' 	CHAT
859	did you try automatix2?	Hello World =) I have lil problem, i cannot install Nvidia-GLX drivers (writes: 'installer file corrupt.' and terminates). anyone help? :) I know how to install drivers, but there is a error 'Installer file corrupt.'!!! 	CHAT
860	have you tried vlan?	I have a SATA DVD drive that Ubuntu can read data from but can't play movies from. I've installed all of the necessary codecs, but still can't play video. What am I missing? 	CHAT
861	can you tell me which is better bud select or budweiser?	fd0? the floppy drive is boffo? 	CHAT
862	some wireless drivers built into ubuntu don't have the ability to do wpa, try installing a windows driver for your card with ndiswrapper. now this is highly different for each card so you might want to search the ubuntu forums to see if someone had similar issues witht the same card. if you right click your network manager icon (next to the clock) and select (connecton information) [or similar] you see what driver you're using, that should	i have a problem where i can connect to wep protected networks, but not wpa ones.  suggestions? 	CHAT
863	have you tried a different tagger like cowbell?	how can i edit the tags of m4a-files in gutsy? easytag doesn't even recognise the files when scanning my folders... 	CHAT
864	 you might be able to get it to work, but with my shitty ati vid card all i could get was clone.	Kuro:  The only thing I noticed was it broke my dual monitor, had to go back to feisty. don't say that. i also have dual display :( 	CHAT
865	did you try updating your sources and doing the upgrade over the web?	hey could someone help me out here? i dl-ed the alternative cd to upgrade my feisty, everything went well on my laptop however on my desktop i get 'tar: ./dists/stable/main/dist-upgrader/binary-all//gutsy.tar.gz: Cannot open: No such file or directory' when i type in terminal './cdromupgrade'... the disc is mounted to /media/cdrom ...ubuntu forums recommend getting rid of spaces in the mount point but there are not spaces in my mount 	CHAT
866	you might want to change that password now..	/MSG NickServ VERIFY REGISTER quantumelixir rqwaoatdwsxx excuse me.. can anyone help me register? 	CHAT
867	can you tell me a command to check that?	Can someone help me to get compiz working? If i try to enable it, it fails what video card do you have? 	CHAT
868	never tried it.. have you tried update-manager -c ?	have you tried upgrading to karmic first? can I specify that with command-line options etc.? 	CHAT
869	could you please tell the exact command??	is there a way to download ubuntu binaries for a particular package on a different computer and install it on my computer?? it is very inconvenient  directly installing using apt-get because i've a slow net connection... apt on cd does this 	CHAT
870	back ups are always useful, but you might have been better off with a different hard disk	i cant beleive i have just spent all day backing up to put a piece of crap like hardy with kde4 on my pc doh! you should have backed-up yesterday, in antici 	CHAT
871	god ,every one is english ,can you tell me the name ?	how to make a clock on my desk ? 	CHAT
872	did you try the BIOS changes?	Hey, I have a USB Compaq Multimedia Keyboard SDM4540UL. This keyboard works fine in Windows and works fine in the BiOS menu and the GRUB menu. This keyboard does not work with anything relating to Ubuntu though.  If I plug it in while at the command line I get the errors, 'usb 1-1: device descriptor read/all, error -62', 'usb 1-1: device descriptor read/8, error -62'. 	CHAT
873	okey - and what can you make out from this: http://pastebin.ca/740329	how do I find out how much harddrive space I have on my server? df -h 	CHAT
874	yes, I know. But, how can you go back to the farm once you've seen the Big City?	demonspark: yeah, FF3 beta isn't bad, should be very good when it's final. Just didn't think they'd release with a Beta. A lot of people had FF2 extensions that they relied on. You can still install FF2, it's in universe I believe 	CHAT
875	If i provide you with the music start... can you try and identify it ?	Gentleman... i need your help. In the past i've heard a song... and my girlfriend used a small part of it in a school project. Now i need it again, but i don't know who's the author... or the album. 	CHAT
876	can you select it using alt-tab	desperate for help!! On my laptop, i tried to move a gedit file to the adjoining workspace, but it disappeared! the PID is still in the queue, but i don't know how to get the window back or save the doc.. 	CHAT
877	have you tried gnomad2?	hey how do u connect a iriver clix to ubuntu? 	CHAT
878	first update to the recent -16 kernel. you might need som additional boot parameter like routeirq	I cant get my usb flash drive working (Feisty Fawn). Dmesg says that: http://paste.ubuntu-nl.org/40554/ . What to do? :) 	CHAT
879	can you be a little less cryptic there?	how do i restore a file that i accidentally deleted from an .deb package? 	CHAT
880	abraxas have you tried running dpkg --reconfigure xerver-xorg?	asdfjkls:  I wouldnt try 	CHAT
881	can you go back to 7.10? At least until 8.04.1 or 8.10 come out?	just installed 8.04 and I'm having pretty frequent crashes where everything locks up except my firefox window and mouse. looked at a threat in the ubuntu forums. looked like lots of people were having similar problems but i didn't see any definitive fixes. have the crash problems been solved yet? 	CHAT
882	have you tried with the shell prompt?	what OS? 	CHAT
883	do you ger an error, did you try sudo chmod	i screwed up the permissions on my home directory.. how do i fix it? chmod 644 doesn't do it 	CHAT
884	have you tried VLC?	I've got a problem streaming some mms URL's... mplayer crashes. Anyone wanna help me ? 	CHAT
885	sure... and without any thrid-party tools, can you build a Win PE partition in out-of-the-box windows?	isn't that what WIN PE is called? 	CHAT
886	 have you tried 12.10 in a live session to see if it works?	did is possible to upgrade from 11.10 to 12.10 nope, you need to upgrate to 12.04 first 	CHAT
887	have you tried to apt-get compiz?	can anyone help with installing Beryl has anyone installed Beryl here? 	CHAT
888	I think you might need to install gstreamer exras	Hi, quick question... trying to get XMMS working...  it wont play mp3's... any ideas? 	CHAT
889	can you see it in Places > Computer?	i have an old USB1.1 Buslink harddrive enclosure. it shows up in the Hardware Information app as 'usb device', but It doesn't mount at all 	CHAT
890	there's a virtualbox irc channel that is very helpful for any questions you might have if no one here can help :)	ahh, gotchya, the same sounded much faster tbh :P and I assume that would work well with a 64 install as well although one of yas will probably kill me if I don't shuddup, but.... :P any of you familiar with VirtualBox problems?? this is the only other thing, other then setting up python/wxpython and driver stuff which can wait, that I am stuck with since I migrated from XP :P 	CHAT
891	I don't understand your question, could you try to elaborate?	I have a script but I do not know how to tell it what directory to save the files can anyone help me. 	CHAT
892	The easiest would probably be to use alacarte (you might need to install it). In alacarte, locate acroread and edit the item to add the env part in front of the command.	so anybody have any ideas regarding my question? :P 	CHAT
893	have you tried searching for guides on internet sharing with ubuntu?	can anyone here help me configure an ubuntu box as a router? 	CHAT
894	what do you mean flush data? can you be more specific please?	why is it important to umount any mounted paratitions u made ? flush data 	CHAT
895	you might want to try the Envy project: http://albertomilone.com/nvidia_scripts1.html	alright, I'm a bit desperate. I've tried dell, nvidia, envy, googling ... can't get the nvidia drivers installed. Any ideas? 	CHAT
896	you might want to ask in #xfce	sort of stupid question; with unity, when i right-clicked an url in terminal and selected 'open link', it opened up in firefox window that was on another desktop. now, with xfce4, it works the same BUT firefox window is moved to current workspace. how can i prevent this from happening? s/another desktop/another workspace/ 	CHAT
897	@ keanu: maybe i'm stupid but have you try to re-install its from synaptic?	Hi!! 	CHAT
898	have you tried easytag? it gui.	any mp3 tag tool that actually work ? tagtool used too not anymore 	CHAT
899	have you tried x11vnc?	how can I make the same magic ( System ->Preferences-> Remote Desktop ) on an xubuntu nachine ? If i install vnc the vnc user connects to display 1 not to display 0 :( 	CHAT
900	you might best off installing it	My live CD is extreemly slow. Unusable. Is there anything I can do? The harddrive is working the living hell out of it self without me doing anything 	CHAT
901	can you specify two servers on the same line?	hey all, my resolv.conf tells me not to edit directly - it is a static network config - is it safe to edit directly, or is there somewhere better to set dns servers? you can install resolvconf , and add the line  dns-nameservers xxx.xxx.xxx.xxx xxx.xxx.xxx.xxx to your static config 	CHAT
902	I'm not sure but you might have to change /etc/hosts aswell	how do I change my hostname? $sudo hostname <name> reset to the old one after reboot Try editing /etc/hostname 	CHAT
903	have you tried nomodeset?  '/msg ubottu nomodeset' for details.	Hi, Could someone help me with this issue http://ubuntuforums.org/showthread.php?p=11661282#post11661282 When I boot my laptop my screen remains blank 	CHAT
904	have you tried clicking the 'Sessions' menu when on the login screen?	ok, ill tell you in a min, just restarting quickly 	CHAT
905	could you post the error?	any reason my compiz fusion isnt wanting to open and run logically, yes, there is a reason 	CHAT
906	you might want to try GIMPshop	hello, is there some package selection for GIMP to have photoshop style image effects? 	CHAT
907	did you try changing background image of each desktop ?	Running compiz under Ubuntu, with the nifty rotating desktop cube. Is there a way to put a different background image on each face of the cube? I've looked all through the options, and I don't see a way... 	CHAT
908	can you ping 8.8.8.8?	I did ifconfig eth0 up, and is listed in ifconfig, but I connect the ethernet try a ping google.com and does not work, how can I know when I am connected to internet and if my ehternet drivers is loaded and working ok, brb, let me try 	CHAT
909	for actual MS-DOS you might try dosbox instead	hey there is way to run ms-dos on wine? 	CHAT
910	you might want to try 'lsb_release -a' and 'uname -a' again, that pastebin only have the 'dpkg -l' output	If im running gnome 3 in ubuntu 10.04 is there a way i can revert back to ubuntu 2? reinstall ;) 	CHAT
911	look at --newmode and --addmode on the xrandr man page ; checking that your horizontal & vertical syncs are correct in /var/log/Xorg.0.log will give you a hint of why you might need to	- aye, thanks for the tip but it doesnt do what I need, sadly 	CHAT
912	you might want to ask in the #ubuntu-server channel	dr_willis may have left: <dr_willis> night all.. 	CHAT
913	you might want to try in #httpd	A question about a configuration of apache. I bought a domain name in a provider, now the domain point to the static ip of a my server: if I go to the site www.foo.com then I arrive to the apache of my server. If I go to www.foo.com/bar in the browser bar I see serverip/bar and now www.foo.com/bar.. I think I have to configure something in apache. is it correct? could anybode give me an advice? 	CHAT
914	you might try another player?	on my mac, i can take a playlist in itunes and burn it as an mp3 CD, with all the mp3s of that playlist copied to the CD (presumably with the playlist's 'track' number prefixed to the filename)... is there any way to do that sort of thing in ubuntu? in rhythmbox, you should be able to right click on a playlist and burn to CD... 	CHAT
915	you might try asking in the #rhythmbox channel on irc.gnome.org	oh. Ok so I tried to install the rythembox Pandora internet radio plugin from google code, then I install it, and in plugins it doesn't come up. I am running ubuntu version 12.04, I get no pandora plugin in plugins, but I don't see it. I ran the setup.sh script for it from google code but that didn't work either. Someone please respond to these details of my problem. 	CHAT
916	you might ask that in #kubuntu	hey guys, i'm a kubuntu user, but it's telling me to upgrade to Ubuntu 11.04, am i or will it mess with my stuff...? just tell it not to remind you again if you don't want to upgrade 	CHAT
917	you might ask in #ubuntu-server	anyway, i have converted an old laptop into a home server, ive already got apache,ssh,ftp,cups installed any other suggestions? 	CHAT
918	have you tried 'sudo apt-get -f install', if so, what is the error?	while trying to install gui dj software i installed libdjconsole it failed halfway through and will not repair i am unable to install or uninstall anything using gui or terminal help 	CHAT
919	how can you say updating is hard, is one command in the terminal, and thats it,	sheet, I always forget that Ubuntu & Windows have the same general kinds of headaches... HOW DO YOU LOGIN TO GNOME AS ROOT? 	CHAT
920	can you specifiy direectly the settting into interfaces??	 hi guys, i was trying to connect to my wireless internet connection. instead of asking the WEP key it is asking me the WAP key and the password i do have is not working on it.can anyone help me pls are you in ubuntu-uk aswell?? 	CHAT
921	a user requires a username, how can you have  auser without username.	how do i unmount a device (i cant see it in the file manager) (Phone) in terminal umount /dev/** 	CHAT
922	you might want to check 'dmesg | grep sdc' to see if it contains any hints	thufir: when i sudo fdisk - l it shows all the drives, this is supposed to be sdc1, which i added under /media/250GB, but i cannot find that 250GB file. /media shows empty using /dev/sdX# isn't a good idea, as these can change.  Using UUIDs or LABELs is a better idea. 	CHAT
923	better to install a seperate home partition; that way you can screw up and then reinstall and all your private stuff will be saved; currently though (guessing you have not done this) you might try aptoncd, rsync, among other options	what is a good program that can make an image out of my current install and restore it when i want if i screw up later? 	CHAT
924	what have you tried to do? what mp3 manager are you using in ubuntu? have you successfully mounted etc	hello everyone...got a question... Has anyone been able to successfully manage a Zune in Ubuntu.  I know, I know...Shouldn't have a Zune to begin with...I agree...It's my son's. 	CHAT
925	you might also consider unetbootin if you want to get more technical--also at the same link ;]	Hey all, I installed 8.04 with Wubi....now I want to migrate it to it's own partition and make it a real, honest-to-god installation of Ubuntu...any suggestions? you need to put it on an lvm-- /msg ubotu wubi and read the ubuntuforums link for more info 	CHAT
926	which have you tried	Which voice chat application is best for ubuntu ﻿Which voice chat application is best for ubuntu 	CHAT
927	you might be the only one running 10.04 in the channel ;)  ubuntu folk are typically excited about NEW vs stable.	hi i m the only one whose java applets stopped working in 10.04 	CHAT
928	i was not here so i didnt saw your message. can you help me about the white stripes problem in games menus	nope. compiz is off. i barely use it 	CHAT
929	you might also have to 'chmod +x foo.run' before the 'sudo ./foo.run'	how to i install a program from a .run file? in a terminal, cd to the directory with the foo.run file, then 'sudo ./foo.run' 	CHAT
930	yes, but you might want to ask in #vbox	Why is it that my inet address on my Ubuntu VirtualBox (emulator) starts with the number '10' instead of '192'? NAT of VBox uses 10 	CHAT
931	could you clarify a bit?	hi there, anyone else is having problems with pidgin and cpu usage? 	CHAT
932	anybody, can you tell me about Unix? russian please.	ololo 	CHAT
933	this is a support channel not a poll channel; could you please ask in #ubuntu-offtopic thanks	hey, i'm a bit of an ubuntu newb. anyone recommend a good desktop environment? need something fast and customizable, that still looks nice :P see #ubuntu-bots 	CHAT
934	what version of ubuntu and what have you tried	some1 here who know about broadcom wlan chips? 	CHAT
935	can you give me a chat room where i can ask somebody about an error that i'm having?	hello guys 	CHAT
936	could you just download the version on want and install it with dpkg?	Is there a way to see what versions of a packages are available on a remote apt repo? have you added the repo already?  if so, you can use 'apt-cache policy foo' to see what versions are available, and from where 	CHAT
937	acceleration dies? could you be more precise as the exact problem?	Are there any X gurus in here today? no just us ;] 	CHAT
938	you might want to see if /etc/modules will work for you	Hi all! I have a question about modules. I can load a module with command: modprobe gamecon map=0,1,1,1,1,1     But what do I have to write in /etc/modprobe.d to make it permanent? Manpage is kinda without an example I could use. 	CHAT
939	do you have any working livecds/installs?  can you 'cat /proc/cpuinfo' from somewhere?	i have a 64bit os on my 1GB EEEpc 	CHAT
940	which have you tried so far, please give us a list so as to avoid repetition	any mp3 tag tool that actually work ? tagtool used too not anymore 	CHAT
941	who is they and could you give more info please	what do they mean by saying working in linux ntfs is not safe 	CHAT
942	you might want to try the #ubuntuone channel?	hey guys I'm looking to sync a folder on ubuntu one via the command line would anyone know the command off the top of their head? 	CHAT
943	you might want kde then	Does anyone know of an addon/scrip for nautilus that would allow a popup with 'copy/move/cancel' to popup when drag and dropping a file? 	CHAT
944	for installing onto RAID you might have more luck with an Alternative CD vs the LiveCD (but I have no specific knowledge regarding your controller)	I have a question regarding using a built in Raid Controller from SuperMirco X9SCL , The Installer is not picking up the LSI Raid 	CHAT
945	ubuntu-server? if you don't get an answer here you might try in #ubuntu-server	hi for some reason my server rebooted itself, and now the raid1 software is in this weird state: md3 : inactive sda7[0](S)  you guys known how to fix this? 	CHAT
946	sounds like driver issue then-->you might try installing envyng-gtk	Question: I'v got a ati 9550 video card and when I play games or use a 3d program my screen blinks black any ideas? turn off compiz 	CHAT
947	can you hear me ?	hello 	CHAT
948	have you tried plugging it in and scanning?	LOCAL HOST this is the ubuntu support channel; do you have a question? 	CHAT
949	have you tried blacklist.conf?	please i'm need help to install de new kernel or solution the conflict with nouveau vs nvidia i'm use the ubuntu 12.04 	CHAT
950	can you digg it?	http://digg.com/users/slimjimflim   this is the funniest rant on all da intrawebz 	CHAT
951	you might want to try http://www.jamendo.com/ as well	hello all, I'm looking for some free/open music to use for my video's, anyone know a good site for that? 	CHAT
952	you might need to see '/msg ubottu register'	heyy.. but I'm getting a warning ' cannot send to channel' :( ##linux 	CHAT
953	for your purposes the livecd one should do; how space can you give it?	do some reading--there are a number of good sources on the internet; join a local linux users group, there are many options available if you are worried about that (its not dangerous) you should consider Wubi 	CHAT
954	have you tried nomodeset?  It's not typically required for intel, but might be worth a shot?	blargh, threw the ubuntu disk away and now with lubuntu, apparently a linux distro requires a buttload of gpu power..... Dandare, I did'nt even get that far, it only showed the first ubuntu text with big letters and dots as a loading animation, after it finished that when it was supposed to give the language selection screen I think it instead remained black screen 	CHAT
955	did you try disabling compiz? same results?	any miro experts here? what is the question 	CHAT
956	you might want to try the #ubuntuone channel	hello, i am synching ubuntu one, and have a problem, it is stuck... and my files aren't synching it says synchronization in progres, my file is a 80 kb file and it still isn't done 	CHAT
957	have you tried ~/.thunderbird/...  ?	hello. Where does thunderbird take the information that he displays in recently used(when trying to add an attachment to an email) in ubuntu 12.04 	CHAT
958	which have you tried so far	anyone using a video player that has predefined equalizer presets and remembers last played position aswell? 	CHAT
959	can you read english?	还是E文呀 /j #ubuntu-cn xie xie 	CHAT
960	you might want to ask in #ubuntu-mythtv	how can i get to mythbuntu control center in kde? 	CHAT
961	besides amarok, which have you tried	is there an audio player that fully supports wma and has cross-fading ? (besides amarok) 	CHAT
962	this is for a dual boot? you might consider unetbootin or wubi then	im trying to get ubuntu to boot from the live cd onto my laptop but it doesnt seem to be working. Ive gone into the BIOS and told the computer to boot from the cd, but it insists on starting up in windows. Ive read on the help forums that the way around this is to get smartbootmanager on a floppy but my laptop can only have a cd drive OR a floppy drive in it at one time, does anyone know a way around this? yea 	CHAT
963	empathy is an IM client, you might want to try an IRC client instead	I am trying to auth myself on Quakenet with Empathy but adding my password to the account settings doesn't work and when I auth manually I get 'Failed to open private chat'. Anyone here that can help me with that? please?? I can't figure out how to auth at all even searching the web for hours didn't help :( ask on quakenet - your question has little to do with Ubuntu 	CHAT
964	could you give me an example of sudo with tee?	how do i sudo with pipes? well the '>' symbol and double quotes tee 	CHAT
965	instead of using a line or 3 to warn me for flooding, could you help me with a solution ?	!paste | Djoef 	CHAT
966	you might want to try asking in #vbox, it's possible but non-trivial i believe, best of luck.	Hey guys I was wondering if anyone knows about Virtual Machine here. i want to make a virtual image of my linux hard drive setup, and then use it on virtualbox in windows 	CHAT
967	im off to bed - if you find anything of interest can you PM it to me please?	I had that happen but it went away on install 	CHAT
968	could you specify please?	can anyone help me get hardy heron installed inside windows, i have run into some problems using wubi? 	CHAT
969	how much space do you have? if a lot then you might consider apt-mirror	nobody using apt-proxy? ;) 	CHAT
970	you might to ask in #ubuntu-arm	Excuse me, how to have Ubuntu on arm devices like phone? 	CHAT
971	not sure have you tried devede?	I have this DVD9 unencrypted directory, with VIDEO_TS, what gui burning software can I use to burn this to a Dual Layer DVD-R I have? 	CHAT
972	could you install grub to a local disk?  grub would need to support iscsi as well (i have no idea about that)... good luck.	is it possible to install ubuntu on a remote iscsi disk? the BIOS supports booting iscsi, I gave it a shot and it installs but fails to install a boot loader 	CHAT
973	i've seen others with issues with totem and youtube - you might be wasting you time trying???	hi, does anybody know if totem's youtube plugin works in ubuntu 10.10 or it was abandoned after youtube changed their website in such a way so that the plugin stopped working? 	CHAT
974	bad download?  could you check md5 of iso?	virtual box complaint about mini iso file, no bootable media found error sounds like an incorrect ISO setting in VBox 	CHAT
975	can you backup your data, and just install from scratch?	okay.... another question... I installed Ubuntu 8.04 from inside windows, where it gives you the option of uninstalling at a later date... I quickly decided I preferred ubuntu over windows, and so now I want to get rid of windows... But I'm afraid if I remove windows, I'll lose ubuntu... can i remove windows safely? I think no 	CHAT
976	you might want to see '/msg ubottu ask' or '/msg ubottu topic' best of luck!	testing fail ;) 	CHAT
977	I'm working on a project that you might find helpful.  join #climl if you are interested	OK, i've been typing in some commands and just getting responses... just to see what happens. Can anyone suggest a good book for a total beginner? I've done some DOS stuff, I've been using computers since 93 (12 years old) or so... I have some unrelated experience in working with commands and dealing with things that aren't in my face and image based. But I still don't know or understand Linux commands at all. Ok, I'm still trying to figure out what commands to use, and I dont' want to use the wrong command and change anything 	CHAT
978	hmm, I don't know what a ram boot is.  This error happened while trying to get that working?  If you were following some directions, can you post a link?	Can anybody help me with this? : http://paste.ubuntu.com/242702/ it looks like the install is bad or something.  did this happen during an upgrade? 	CHAT
979	have you tried regular ubuntu?	Help Please. Im Install Ubuntu REmix on HTC Shift (Ubuntu 9.04) but the Touch and de Wireless donsent work. 	CHAT
980	can you try turning compiz/special effects off, just as a test?	I'm miising my /close/min/max buttons on my Desktop windows..  where to check ? are you running compiz? 	CHAT
981	when you startup do you see Grub?  If so, do you have an older kernel listed?  If so, have you tried it to see if gnome-shell works there?  Just something to try, no idea if it will help.	Can someone give me anything? How can I go about rolling back the updates.. or finding out what was updated to get an older version.. something to fix my computer.. would be appreciated I've gotten that far.. how do I fix it 	CHAT
982	i can kinda help, can you give more reasons why you need this?	Hi I'm in panic here, new to Ubuntu 201cFeisty201d, a quick question...how do I display a list of recently installed applications, don't need lots of detail, just name and date installed. Thankful for any assistance. 	CHAT
983	have you tried running the checkdisk option? maybe the disk is bad	When I try to install Ubunto 7.10, the CD loads, the HDD flashes, the screen turns that off greenish-orange color, then the CDrom/HDD flash in sync. I've let it go for 8 hours and nothing is it a new computer? 	CHAT
984	have you tried the command dig?	I have a question. I'm looking to make a script to ping a list of domain names and show me the ip they resolve to... And one have an idea how this might be done? 	CHAT
985	can you fix your fstab?	I was trying to make a file server last night (drunk) and im pretty sure i was trying to add a mount to fstab and something went wrong because now ubuntu is scanning my drive and then its asking me for the root password or press ctrl + D (but that just restarts) 	CHAT
986	can you ask in #ubuntu+1	Software I wrote is in the Ubuntu 9.10 repo.  On what date will its version be frozen? I looked at the Ubuntu 9.10 timeline/roadmap but I could not figure it out 	CHAT
987	can you say more about how much you want to switch?  do you want to get rid of xubuntu-desktop, and completely replace it with ubuntu-desktop?	how do i switch from xfce to gnome ?? 	CHAT
988	one more question - where can you get the latest nvidia drivers for a 8800 gts for ubuntu?	worked it out rudelrius - had to edit the sources.list file 	CHAT
989	could you help me solve my problem with livecd	!caps | mzuverink no need to flood the channel by telling him 12 times 	CHAT
990	have you tried wine?	is there any way to use photoshop in gutsy? 	CHAT
991	you might try looking at pendrivelinux.com I'm pretty sure they have guides that involve what you're doing	How do I install syslinux on my usb drive? I installed ubuntu on the usb drive without a bootloader. I made a fat32 partition specifically for syslinux How do I install syslinux on my usb drive? I installed ubuntu on the usb drive without a bootloader. I made a fat32 partition specifically for syslinux 	CHAT
992	can you get it to just boot linux?	Does anyone know a way to get a USB stick to dual boot DOS and Linux (trying DamnSmallLinux at the moment, but failing) 	CHAT
993	you might be able to copy the DEBs from /var/cache/apt/archives/ from one to the other - then you won't have to download stuff again	there is a Pulse Equalizer available from a PPA floating around - see http://exploreubuntu.wordpress.com/2010/04/18/equalizer-for-pulse-audio/ for some details.  Good luck. thank you... i just found the equalizer for that application so no need to go for a systemwide solution :) thaank you for your help :) 	CHAT
994	what have you tried?	im trying to get mp3s to open in audacious when they are double clicked.  I don't know if im just stupid or something but i cannot find the option 	CHAT
995	if you do 'sudo fdisk -l' can you see the drive?	hi, 2nd hard drive (sata) not seen in upgrade to feisty, nothing useful in forums....any ideas? 	CHAT
